Number,NumberInFile,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,ImageNumber,Concentration,Channel
810,123,834,2726.657,265.581,2208,4016,134.373,654.67,134.094,655.124,104.025,119,637,31,35,36.689,28.943,60.698,0.969,37.216,2274032,2688,0.911,1.485,100,2274032,3,125,671,59.3,29.399,1.268,0.789,0.981,2665,3e-05,n
811,124,759,3968.527,1167.229,2832,9056,190.007,663.886,189.415,664.305,104.649,171,649,37,30,40.947,23.601,148.662,0.871,41.049,3012112,3504,1.917,3.226,100,3012112,3,173,653,145.923,24.006,1.735,0.576,0.97,2665,3e-05,n
812,125,777,2938.996,195.746,2400,3552,231.25,669.123,231.204,668.916,100.779,215,654,33,30,35.369,27.971,145.669,0.961,36.715,2283600,2928,0.184,0.052,100,2283600,3,216,659,150.642,28.284,1.265,0.791,0.986,2665,3e-05,n
813,126,792,2615.394,188.838,2112,3184,90.674,673.407,90.538,673.335,101.801,77,655,28,36,35.941,28.057,86.404,0.96,36.346,2071392,2608,0.165,-0.373,100,2071392,3,86,691,82.093,28.0,1.281,0.781,0.982,2665,3e-05,n
814,127,943,2399.695,143.792,1984,2896,1172.436,680.098,1172.289,680.005,111.14,1155,663,35,35,35.553,33.771,37.513,0.959,37.336,2262912,2400,0.41,0.343,100,2262912,3,1155,685,20.376,34.354,1.053,0.95,0.974,2665,3e-05,n
815,128,712,5491.371,1097.664,3808,7904,379.461,685.712,378.588,685.396,98.226,365,669,28,32,33.277,27.243,112.035,0.927,35.228,3909856,5200,0.548,-0.935,100,3909856,3,369,671,124.592,28.0,1.221,0.819,0.963,2665,3e-05,n
816,129,375,11052.032,1394.951,8288,14288,183.895,684.631,183.721,685.107,70.373,173,675,23,19,24.528,19.466,163.384,0.952,25.942,4144512,11024,0.207,-0.472,100,4144512,3,173,677,152.447,19.0,1.26,0.794,0.991,2665,3e-05,n
817,130,474,3328.506,525.948,2560,5616,353.468,694.62,353.856,694.175,79.387,340,681,26,25,26.464,22.805,30.384,0.945,26.926,1577712,3152,1.411,2.301,100,1577712,3,341,701,31.329,23.214,1.16,0.862,0.961,2665,3e-05,n
818,131,579,3198.508,288.999,2560,4608,253.942,725.402,254.248,725.297,86.236,241,711,26,28,29.172,25.271,119.558,0.978,30.083,1851936,3168,0.536,0.864,100,1851936,3,249,711,111.448,25.896,1.154,0.866,0.981,2665,3e-05,n
819,132,482,6434.523,1391.408,3936,9632,142.616,728.757,141.617,729.945,88.688,130,713,26,32,37.024,16.576,56.54,0.77,36.359,3101440,6752,-0.023,-1.098,100,3101440,3,134,744,58.496,17.321,2.234,0.448,0.951,2665,3e-05,n
820,133,497,9606.728,2810.399,5808,16672,160.428,738.13,159.853,739.705,84.888,145,726,30,24,33.914,18.659,31.155,0.867,33.838,4774544,8800,0.612,-0.728,100,4774544,3,146,748,34.16,19.23,1.818,0.55,0.971,2665,3e-05,n
821,134,544,3089.324,333.869,2368,4336,225.184,747.581,224.79,747.835,84.452,211,735,27,26,30.199,22.936,139.371,0.958,30.61,1680592,3024,1.247,1.955,100,1680592,3,215,736,128.367,23.114,1.317,0.759,0.978,2665,3e-05,n
822,135,890,6358.04,722.771,5168,9248,179.585,762.182,179.729,762.109,116.331,159,745,38,34,36.127,31.367,178.676,0.826,40.853,5658656,6208,1.464,2.484,100,5658656,3,159,755,158.459,32.019,1.152,0.868,0.929,2665,3e-05,n
823,136,877,3315.485,425.558,2304,4272,883.996,762.424,884.318,762.945,106.662,867,745,32,34,35.443,31.505,59.877,0.969,36.892,2907680,3424,-0.347,-0.915,100,2907680,3,874,778,57.171,32.0,1.125,0.889,0.982,2665,3e-05,n
824,137,996,2278.329,180.56,1888,3104,1182.226,770.794,1182.219,771.195,113.141,1165,753,35,36,37.873,33.484,135.175,0.978,38.419,2269216,2256,1.008,1.885,100,2269216,3,1169,756,128.66,33.941,1.131,0.884,0.984,2665,3e-05,n
825,138,839,3233.201,451.564,2176,4512,921.846,793.695,921.136,794.007,107.092,908,774,27,40,40.665,26.27,98.467,0.919,41.0,2712656,3312,-0.128,-0.661,100,2712656,3,916,774,102.68,27.0,1.548,0.646,0.978,2665,3e-05,n
826,139,503,4097.177,753.974,2864,6240,202.482,802.098,202.507,801.337,81.513,191,788,22,29,29.468,21.734,107.597,0.951,30.083,2060880,4032,0.5,-0.423,100,2060880,3,198,788,105.422,22.0,1.356,0.738,0.981,2665,3e-05,n
827,140,781,4444.476,426.071,3488,6208,893.656,815.177,893.527,815.163,108.989,874,799,36,34,40.449,24.584,132.367,0.826,40.224,3471136,4400,0.943,1.379,100,3471136,3,875,805,145.125,26.348,1.645,0.608,0.917,2665,3e-05,n
828,141,330,4751.467,497.338,3664,6016,875.585,823.058,875.362,822.784,68.255,864,812,23,20,23.4,17.956,155.412,0.89,25.239,1567984,4752,0.124,-0.741,100,1567984,3,866,817,146.31,18.783,1.303,0.767,0.961,2665,3e-05,n
829,142,864,3619.5,505.858,2544,5088,885.464,865.115,885.16,864.841,110.032,865,852,41,28,40.752,26.995,170.825,0.897,41.976,3127248,3648,0.04,-0.706,100,3127248,3,865,858,167.619,28.0,1.51,0.662,0.971,2665,3e-05,n
830,143,886,3515.377,756.293,2704,6400,28.965,971.974,30.195,972.197,107.641,13,953,32,37,36.638,30.79,80.66,0.961,37.656,3114624,3216,1.716,2.161,100,3114624,3,25,990,79.287,31.967,1.19,0.84,0.973,2665,3e-05,n
831,144,752,5982.851,1084.41,4240,9104,59.239,982.199,58.755,981.075,99.902,44,965,30,34,35.824,26.728,119.394,0.947,36.125,4499104,6096,0.486,-0.045,100,4499104,3,47,969,131.634,26.833,1.34,0.746,0.972,2665,3e-05,n
832,1,1068,3833.303,927.276,1088,5376,99.077,13.262,99.304,12.803,167.787,78,0,57,38,52.193,26.054,29.294,0.477,67.417,4093968,4128,-1.146,0.722,100,4093968,3,78,36,32.276,36.388,2.003,0.499,0.78,2665,3e-05,a
833,2,2977,4340.364,1072.03,1136,9136,159.079,46.732,158.547,45.833,255.774,129,0,63,99,97.178,39.005,112.797,0.572,102.357,12921264,4256,0.697,2.018,100,12921264,3,136,0,104.715,45.169,2.491,0.401,0.831,2665,3e-05,a
834,3,2030,3617.513,821.303,1312,6736,186.428,22.119,187.479,23.196,188.498,156,0,56,56,56.826,45.484,114.365,0.718,68.593,7343552,3424,0.728,0.211,100,7343552,3,156,0,134.409,52.552,1.249,0.8,0.947,2665,3e-05,a
835,4,4565,3289.863,505.798,1088,5600,243.558,31.919,242.952,32.51,260.614,205,0,80,71,81.47,71.343,35.539,0.845,93.814,15018224,3296,-0.419,3.242,100,15018224,3,205,49,31.487,71.0,1.142,0.876,0.976,2665,3e-05,a
836,5,4095,3812.372,1063.363,1120,8384,313.967,29.884,314.096,28.856,244.919,274,0,79,63,84.034,62.045,25.108,0.858,91.526,15611664,3760,0.485,0.475,100,15611664,3,274,55,33.864,63.0,1.354,0.738,0.981,2665,3e-05,a
837,6,4360,3782.305,661.974,1168,7984,525.99,32.614,525.404,31.198,284.938,484,0,78,94,85.192,65.163,119.181,0.675,104.652,16490848,3728,0.65,4.916,100,16490848,3,486,0,116.075,74.603,1.307,0.765,0.921,2665,3e-05,a
838,7,3312,4211.043,880.731,960,8128,659.475,22.038,660.817,22.168,254.221,605,0,91,62,80.29,52.521,164.322,0.644,95.509,13946976,4256,-0.592,2.086,100,13946976,3,605,3,162.324,62.0,1.529,0.654,0.922,2665,3e-05,a
839,8,2502,3325.397,400.009,1776,5232,729.569,19.962,729.72,20.607,196.325,697,0,65,47,69.324,45.953,174.643,0.816,70.774,8320144,3312,0.349,0.637,100,8320144,3,697,0,156.695,47.0,1.509,0.663,0.985,2665,3e-05,a
840,9,4841,3217.943,705.185,976,6288,820.427,27.061,820.478,27.623,313.306,761,0,103,76,108.484,56.817,157.533,0.62,120.603,15578064,3152,0.311,0.703,100,15578064,3,761,0,142.75,71.105,1.909,0.524,0.904,2665,3e-05,a
841,10,3224,3269.39,768.413,1184,6624,896.934,22.781,897.18,24.136,229.07,861,0,79,54,79.133,51.874,8.409,0.772,82.873,10540512,3152,0.882,1.69,100,10540512,3,862,0,160.253,54.0,1.526,0.656,0.964,2665,3e-05,a
842,11,1697,4256.141,1243.926,1616,10192,968.166,14.288,971.671,14.839,190.551,933,0,72,36,71.76,30.11,170.422,0.587,79.624,7222672,4048,1.003,1.249,100,7222672,3,933,0,154.722,34.118,2.383,0.42,0.86,2665,3e-05,a
843,12,831,4194.638,1765.411,1200,12016,1024.908,9.251,1020.557,7.838,147.901,992,0,56,29,49.416,21.412,167.297,0.477,56.223,3485744,3744,1.595,3.374,100,3485744,3,992,0,174.898,29.0,2.308,0.433,0.782,2665,3e-05,a
844,13,139,4924.777,1463.825,2592,9072,1127.888,3.306,1127.463,3.596,52.431,1116,0,23,8,22.899,7.729,177.098,0.635,23.195,684544,4912,0.519,0.044,100,684544,3,1116,0,172.569,8.0,2.963,0.338,0.962,2665,3e-05,a
845,14,1722,3857.533,995.427,1232,6656,1256.226,17.815,1254.889,18.333,184.186,1221,0,58,48,58.478,37.493,160.558,0.638,66.483,6642672,3648,0.463,-0.104,100,6642672,3,1233,0,133.781,44.627,1.56,0.641,0.873,2665,3e-05,a
846,15,1504,6491.436,1683.991,1696,10464,119.054,36.79,120.366,37.394,148.837,94,10,46,47,44.349,43.179,123.73,0.853,48.765,9763120,6816,-0.774,0.472,100,9763120,3,105,53,61.858,44.272,1.027,0.974,0.956,2665,3e-05,a
847,16,5364,3345.265,785.823,1120,8416,605.861,82.464,606.761,83.83,315.422,574,17,76,124,111.439,61.286,106.989,0.678,124.064,17944000,3232,1.145,3.891,100,17944000,3,590,17,91.848,69.819,1.818,0.55,0.907,2665,3e-05,a
848,17,4882,3240.295,809.676,864,6992,493.199,82.864,494.361,83.265,275.618,453,25,78,102,96.688,64.289,113.316,0.808,104.293,15819120,3168,0.243,0.718,100,15819120,3,483,25,104.436,64.31,1.504,0.665,0.969,2665,3e-05,a
849,18,5910,3345.172,895.55,912,8368,1240.486,71.218,1241.917,72.07,341.945,1195,25,84,107,98.704,76.237,131.999,0.635,121.314,19769968,3216,0.912,2.937,100,19769968,3,1220,25,119.1,81.065,1.295,0.772,0.879,2665,3e-05,a
850,19,2063,3281.466,789.896,1008,4880,16.258,66.043,15.708,66.771,205.284,0,26,43,79,63.829,41.152,87.612,0.615,79.057,6769664,3488,-1.079,0.623,100,6769664,3,0,105,87.825,43.0,1.551,0.645,0.919,2665,3e-05,a
851,20,7594,3153.315,738.168,976,8336,774.573,83.133,771.788,84.859,421.161,695,27,144,115,113.16,85.445,20.869,0.538,151.789,23946272,3040,1.431,6.408,100,23946272,3,695,135,18.435,103.465,1.324,0.755,0.749,2665,3e-05,a
852,21,3296,3791.097,940.802,992,8352,947.805,48.651,947.328,48.924,274.323,890,27,116,43,113.668,36.92,11.495,0.55,120.88,12495456,3616,0.733,2.348,100,12495456,3,890,68,16.336,42.361,3.079,0.325,0.927,2665,3e-05,a
853,22,3529,3610.763,640.638,1152,6608,560.503,91.587,560.474,92.432,287.632,530,29,63,113,93.914,47.844,87.992,0.536,114.935,12742384,3520,0.5,0.48,100,12742384,3,572,29,100.528,57.923,1.963,0.509,0.866,2665,3e-05,a
854,23,4544,3466.433,693.876,976,7744,695.521,72.477,694.031,72.964,266.927,647,32,91,75,91.529,63.21,25.988,0.801,101.71,15751472,3456,0.3,2.439,100,15751472,3,650,98,30.094,67.893,1.448,0.691,0.942,2665,3e-05,a
855,24,4781,3205.415,777.665,976,7776,998.553,79.614,998.624,79.177,301.243,944,32,96,91,88.912,68.465,30.47,0.662,96.649,15325088,3184,0.524,3.412,100,15325088,3,946,81,28.421,78.39,1.299,0.77,0.84,2665,3e-05,a
856,25,4513,3355.157,832.401,1024,6864,109.053,77.326,109.327,77.293,280.101,62,37,99,73,105.456,54.489,156.151,0.723,106.231,15141824,3264,0.56,1.525,100,15141824,3,63,59,157.297,62.139,1.935,0.517,0.89,2665,3e-05,a
857,26,4823,5165.067,1641.527,1312,10672,639.324,143.615,638.551,141.63,322.457,579,100,124,81,107.143,57.315,22.429,0.583,127.346,24911120,4880,0.5,-0.424,100,24911120,3,579,172,13.163,63.057,1.869,0.535,0.827,2665,3e-05,a
858,27,5479,4175.504,1559.12,960,9392,461.09,171.721,461.714,176.726,318.346,425,109,79,114,102.277,68.208,100.388,0.679,116.709,22877584,3856,0.91,0.747,100,22877584,3,456,109,102.369,77.912,1.5,0.667,0.875,2665,3e-05,a
859,28,2874,3730.166,1045.432,1104,7808,49.919,147.033,50.343,148.185,254.384,0,113,90,63,79.675,45.928,12.598,0.558,90.796,10720496,3696,-0.087,0.394,100,10720496,3,0,154,7.595,56.786,1.735,0.576,0.771,2665,3e-05,a
860,29,4293,5131.8,1981.275,1280,13552,784.479,140.584,786.111,142.078,274.415,735,115,109,56,105.199,51.959,179.516,0.716,110.476,22030816,4816,0.791,0.122,100,22030816,3,735,127,170.623,54.331,2.025,0.494,0.924,2665,3e-05,a
861,30,6781,3813.005,672.803,1040,7168,534.4,162.151,534.013,161.284,343.997,481,118,111,93,103.33,83.556,157.275,0.72,121.655,25855984,3760,-0.007,3.696,100,25855984,3,481,121,136.332,85.299,1.237,0.809,0.903,2665,3e-05,a
862,31,1480,7983.632,2397.526,2000,12848,1086.378,154.045,1087.122,156.047,144.875,1063,133,46,46,45.348,41.554,7.032,0.886,48.549,11815776,8656,-0.907,0.101,100,11815776,3,1072,138,122.381,42.058,1.091,0.916,0.952,2665,3e-05,a
863,32,4660,3496.223,770.056,960,6320,830.369,197.893,828.354,198.744,341.368,783,134,86,104,94.831,62.567,53.907,0.503,124.808,16292400,3552,-0.81,1.147,100,16292400,3,795,238,56.437,83.329,1.516,0.66,0.781,2665,3e-05,a
864,33,3340,3549.504,1082.217,1024,10576,94.808,173.581,96.366,172.425,254.403,55,137,84,73,86.923,48.924,37.449,0.649,90.139,11855344,3344,1.286,4.509,100,11855344,3,63,207,49.95,55.729,1.777,0.563,0.856,2665,3e-05,a
865,34,1428,4053.401,1102.844,2576,10624,658.595,180.807,657.462,182.241,175.732,633,150,55,58,65.508,27.755,41.774,0.581,77.897,5788256,3648,1.552,3.861,100,5788256,3,636,208,48.122,32.727,2.36,0.424,0.886,2665,3e-05,a
866,35,1119,5211.939,1528.936,1632,11536,691.849,175.479,691.575,176.933,147.113,675,144,30,54,54.898,25.953,82.685,0.65,57.585,5832160,4944,0.907,0.795,100,5832160,3,683,198,69.677,30.0,2.115,0.473,0.92,2665,3e-05,a
867,36,1439,6974.61,2392.171,1776,12800,1123.137,170.198,1121.985,172.49,141.426,1099,148,45,45,43.404,42.213,125.996,0.904,48.765,10036464,6752,0.008,-0.288,100,10036464,3,1110,150,118.142,40.793,1.028,0.973,0.972,2665,3e-05,a
868,37,1123,8027.996,2525.684,1664,17920,738.336,185.907,739.161,187.668,139.018,721,155,33,57,51.795,27.606,78.585,0.73,57.219,9015440,7504,1.419,2.47,100,9015440,3,732,212,84.987,30.483,1.876,0.533,0.933,2665,3e-05,a
869,38,1793,4613.443,1653.769,1184,11168,941.146,182.62,942.733,183.332,167.716,910,155,57,48,51.535,44.299,45.286,0.801,57.871,8271904,4448,0.658,0.737,100,8271904,3,910,196,9.951,47.275,1.163,0.86,0.933,2665,3e-05,a
870,39,939,5431.991,1605.135,1504,10352,715.917,176.928,716.052,179.231,135.336,702,156,31,47,44.157,27.076,82.693,0.644,50.329,5100640,5232,0.294,0.545,100,5100640,3,703,156,110.956,30.802,1.631,0.613,0.87,2665,3e-05,a
871,40,2699,4574.803,1142.331,1264,10160,29.607,195.596,27.987,195.264,195.72,0,163,62,64,60.183,57.1,50.285,0.885,64.777,12347392,4608,0.087,0.424,100,12347392,3,16,227,81.119,59.728,1.054,0.949,0.971,2665,3e-05,a
872,41,1956,12769.382,5859.536,1904,38240,780.512,183.113,781.14,181.96,181.014,753,164,65,48,58.5,42.572,20.841,0.75,68.942,24976912,11312,1.121,1.273,100,24976912,3,755,195,23.962,48.0,1.374,0.728,0.955,2665,3e-05,a
873,42,1034,3407.18,1092.0,1008,7376,1267.092,188.039,1267.118,189.439,137.737,1249,164,30,52,45.081,29.203,98.989,0.685,52.154,3523024,3344,0.102,0.076,100,3523024,3,1275,164,94.399,30.0,1.544,0.648,0.937,2665,3e-05,a
874,43,1426,5843.456,1853.443,1296,12448,1072.269,190.135,1074.669,188.405,153.548,1042,168,56,42,48.386,37.524,21.717,0.76,56.569,8332768,5520,0.519,0.341,100,8332768,3,1042,188,8.13,40.018,1.289,0.776,0.899,2665,3e-05,a
875,44,3333,5982.929,2093.3,1280,17648,607.562,207.401,607.836,207.937,248.465,569,170,66,87,77.536,54.732,89.385,0.678,87.693,19941104,5712,0.869,2.338,100,19941104,3,598,257,82.794,64.399,1.417,0.706,0.847,2665,3e-05,a
876,45,4766,4430.395,1186.768,960,8288,1200.905,224.252,1200.289,224.911,343.029,1161,175,88,120,103.855,58.43,102.086,0.509,124.193,21115264,4256,0.175,0.281,100,21115264,3,1175,175,104.931,76.369,1.777,0.563,0.742,2665,3e-05,a
877,46,1615,4588.097,1528.259,1168,11152,1118.628,203.928,1116.346,202.386,188.017,1083,182,75,38,69.908,29.414,170.88,0.574,76.118,7409776,4192,1.434,2.848,100,7409776,3,1083,210,9.834,32.738,2.377,0.421,0.854,2665,3e-05,a
878,47,3235,4878.853,1202.802,1200,10352,992.074,224.039,992.129,224.424,244.874,955,186,82,65,78.876,52.22,169.05,0.678,86.331,15783088,4848,0.102,1.657,100,15783088,3,955,241,18.225,61.494,1.51,0.662,0.857,2665,3e-05,a
879,48,3308,4151.869,1058.825,1264,8528,1088.372,227.896,1084.715,225.933,293.683,1032,188,114,74,107.22,39.283,158.516,0.482,116.927,13734384,3872,0.915,0.625,100,13734384,3,1032,193,167.152,52.85,2.729,0.366,0.754,2665,3e-05,a
880,49,3324,4046.07,952.103,1088,7472,107.858,227.717,108.167,228.064,227.997,72,192,73,77,70.141,60.339,67.703,0.804,80.324,13449136,4080,-0.465,1.355,100,13449136,3,92,268,71.114,63.585,1.162,0.86,0.943,2665,3e-05,a
881,50,1584,7246.737,2740.146,1408,17616,650.629,220.621,650.209,220.384,178.673,625,194,55,59,69.139,29.17,47.981,0.624,77.104,11478832,6640,0.807,0.714,100,11478832,3,627,253,46.577,33.998,2.37,0.422,0.896,2665,3e-05,a
882,51,4214,6398.272,3065.317,1136,18976,759.551,240.716,758.386,233.23,259.687,721,195,75,88,80.588,66.579,112.168,0.785,88.363,26962320,5312,1.07,0.694,100,26962320,3,754,195,95.194,70.48,1.21,0.826,0.902,2665,3e-05,a
883,52,1855,5436.446,1707.589,1200,11056,932.316,218.386,934.773,217.31,181.196,900,196,61,45,64.315,36.723,164.583,0.71,65.803,10084608,5392,0.311,0.955,100,10084608,3,902,201,143.653,41.726,1.751,0.571,0.87,2665,3e-05,a
884,53,3489,4030.519,956.837,2272,7808,1160.954,254.059,1160.816,255.287,253.654,1133,196,59,104,81.902,54.239,95.88,0.681,104.173,14062480,3872,0.778,0.116,100,14062480,3,1154,300,86.698,55.298,1.51,0.662,0.913,2665,3e-05,a
885,54,2544,7495.283,2407.946,1776,15664,696.967,223.325,700.041,222.157,208.592,659,198,72,51,68.003,47.632,12.469,0.735,77.82,19068000,7104,0.671,0.201,100,19068000,3,661,246,25.907,49.66,1.428,0.7,0.898,2665,3e-05,a
886,55,5500,4041.51,858.512,1120,9168,529.945,237.788,531.377,238.108,327.473,476,202,122,64,117.941,59.376,172.803,0.644,122.102,22228304,4016,0.565,4.958,100,22228304,3,476,263,2.347,63.772,1.986,0.503,0.898,2665,3e-05,a
887,56,2763,4771.561,1355.681,1136,9264,444.445,232.105,447.67,233.302,223.607,398,207,83,57,83.632,42.065,161.916,0.694,86.833,13183824,4608,0.372,0.692,100,13183824,3,399,221,151.074,42.417,1.988,0.503,0.915,2665,3e-05,a
888,57,3479,2862.629,521.442,944,4592,53.464,244.735,53.904,244.111,235.572,13,208,78,72,73.614,60.174,157.27,0.788,84.534,9959088,2896,-0.885,2.571,100,9959088,3,16,228,152.526,66.178,1.223,0.817,0.922,2665,3e-05,a
889,58,1336,7635.868,2561.516,1744,12544,1051.993,245.906,1053.382,247.452,154.911,1034,215,42,57,49.468,34.387,111.681,0.7,57.428,10201520,8256,-0.347,-0.928,100,10201520,3,1038,215,97.001,39.905,1.439,0.695,0.94,2665,3e-05,a
890,59,1566,6261.252,1917.278,1856,11328,1237.157,242.939,1236.477,241.267,147.018,1214,218,46,47,48.964,40.721,44.299,0.91,51.313,9805120,6432,-0.148,0.14,100,9805120,3,1221,261,56.929,41.012,1.202,0.832,0.968,2665,3e-05,a
891,60,3726,3573.763,918.133,1088,9376,353.714,290.284,352.122,288.712,326.175,303,224,96,116,130.224,36.43,131.965,0.44,139.054,13315840,3568,-0.15,1.16,100,13315840,3,306,224,130.333,48.362,3.575,0.28,0.77,2665,3e-05,a
892,61,3249,4510.729,950.855,1184,8208,425.851,273.867,426.62,273.84,252.259,391,239,77,82,71.677,57.714,30.933,0.642,88.091,14655360,4416,-0.166,2.572,100,14655360,3,400,321,39.472,67.458,1.242,0.805,0.84,2665,3e-05,a
893,62,2199,4460.187,1189.182,1056,10272,1010.935,279.368,1011.344,277.453,210.809,975,240,64,74,81.334,34.424,52.922,0.622,89.051,9807952,4336,0.933,2.864,100,9807952,3,982,313,55.061,38.375,2.363,0.423,0.891,2665,3e-05,a
894,63,3296,3647.083,862.466,1472,9248,1101.924,296.979,1099.352,298.349,307.278,1047,242,94,112,119.144,35.223,45.973,0.439,140.602,12020784,3504,1.277,3.53,100,12020784,3,1047,354,52.804,43.661,3.383,0.296,0.875,2665,3e-05,a
895,64,1884,4965.019,1488.732,1136,10880,978.51,273.309,978.716,273.763,192.905,949,246,65,58,67.044,35.779,50.018,0.636,77.156,9354096,4848,0.426,1.575,100,9354096,3,962,303,47.626,37.772,1.874,0.534,0.899,2665,3e-05,a
896,65,4139,3756.529,902.6,896,9760,298.532,306.569,298.313,306.361,286.317,274,247,50,113,116.283,45.32,92.002,0.634,113.217,15548272,3648,0.748,4.995,100,15548272,3,284,360,86.455,50.0,2.566,0.39,0.907,2665,3e-05,a
897,66,4808,4199.594,1189.712,1056,8816,849.388,298.805,850.257,298.761,404.59,763,248,134,107,85.411,71.673,12.697,0.369,135.823,20191648,4432,-0.67,0.637,100,20191648,3,763,283,13.627,96.481,1.192,0.839,0.575,2665,3e-05,a
898,67,2476,6595.968,1971.789,3168,11536,1070.194,281.038,1067.972,282.194,207.931,1036,248,70,72,71.621,44.017,43.766,0.72,74.216,16331616,5920,0.627,-0.796,100,16331616,3,1060,320,75.964,48.541,1.627,0.615,0.904,2665,3e-05,a
899,68,2231,3816.434,652.06,1232,7072,339.103,325.982,339.592,326.567,234.465,315,270,56,95,86.49,32.843,112.152,0.51,100.901,8514464,3776,0.368,3.173,100,8514464,3,315,270,109.692,41.06,2.633,0.38,0.899,2665,3e-05,a
900,69,4043,4086.059,1068.025,1008,8944,540.71,287.906,541.685,287.716,286.012,484,262,106,63,84.772,60.724,172.425,0.621,106.019,16519936,4000,0.844,3.266,100,16519936,3,484,267,1.081,62.686,1.396,0.716,0.889,2665,3e-05,a
901,70,2913,4478.154,985.8,1632,9536,493.272,305.277,493.418,304.069,229.662,460,264,76,76,92.012,40.309,131.643,0.694,95.483,13044864,4320,1.243,2.432,100,13044864,3,467,267,136.273,42.722,2.283,0.438,0.941,2665,3e-05,a
902,71,6044,3304.897,816.64,928,10208,1246.079,323.857,1245.625,323.913,300.981,1204,273,75,105,103.395,74.427,102.455,0.838,106.944,19974800,3280,1.226,7.037,100,19974800,3,1228,278,118.482,75.0,1.389,0.72,0.967,2665,3e-05,a
903,72,3009,4914.552,1692.344,1104,11216,254.631,315.498,253.68,315.86,223.22,224,275,55,85,81.341,47.1,102.127,0.759,85.212,14787888,4864,0.405,0.963,100,14787888,3,249,275,94.038,51.569,1.727,0.579,0.921,2665,3e-05,a
904,73,4341,3843.693,1008.589,1296,7712,1190.427,331.86,1191.973,334.077,299.549,1152,278,86,109,113.713,48.606,114.554,0.608,111.072,16685472,3696,0.27,-0.426,100,16685472,3,1160,294,133.176,51.953,2.339,0.427,0.84,2665,3e-05,a
905,74,3453,3649.325,1562.694,960,11760,149.562,317.015,147.882,317.63,257.949,109,280,73,81,75.166,58.491,119.808,0.652,84.599,12601120,3232,1.923,5.351,100,12601120,3,111,295,147.061,64.347,1.285,0.778,0.873,2665,3e-05,a
906,75,3505,3510.51,993.673,992,9088,1023.283,325.553,1027.156,325.774,241.961,976,283,83,72,76.622,58.243,27.481,0.752,84.723,12304336,3264,0.878,1.557,100,12304336,3,976,333,11.575,62.463,1.316,0.76,0.926,2665,3e-05,a
907,76,3081,4016.28,798.341,1184,6688,434.651,321.883,433.71,321.614,215.47,397,287,73,69,75.362,52.053,34.967,0.834,78.243,12374160,3904,0.423,1.084,100,12374160,3,399,336,38.774,53.517,1.448,0.691,0.964,2665,3e-05,a
908,77,2936,4165.946,1636.62,992,12608,111.694,338.918,114.944,340.24,280.336,75,288,81,85,77.635,48.151,134.213,0.469,98.473,12231216,3952,0.958,2.346,100,12231216,3,96,289,124.658,63.479,1.612,0.62,0.729,2665,3e-05,a
909,78,2911,4190.829,1026.685,2480,7984,1103.839,332.966,1100.91,335.283,270.114,1048,289,106,78,117.758,31.475,35.201,0.501,118.962,12199504,3856,0.945,0.189,100,12199504,3,1048,355,26.996,33.314,3.741,0.267,0.916,2665,3e-05,a
910,79,3113,3974.61,819.815,2256,6912,1140.423,352.631,1139.27,353.926,244.318,1094,305,87,73,73.232,54.124,26.78,0.655,87.052,12372960,4080,0.042,-0.907,100,12372960,3,1094,362,178.025,63.121,1.353,0.739,0.888,2665,3e-05,a
911,80,2783,3947.263,888.926,1344,6592,471.013,353.901,471.121,355.894,203.897,436,318,71,66,67.179,52.746,36.309,0.841,75.611,10985232,3776,0.423,-0.34,100,10985232,3,436,367,20.113,51.767,1.274,0.785,0.966,2665,3e-05,a
912,81,3149,4290.48,823.06,1104,8864,520.694,367.668,520.191,367.704,248.565,476,334,95,74,87.367,45.892,32.465,0.64,97.985,13510720,4272,-0.376,3.402,100,13510720,3,476,385,14.178,50.992,1.904,0.525,0.866,2665,3e-05,a
913,82,2709,3588.371,1051.621,1136,7392,386.043,364.641,383.389,365.896,207.845,348,337,78,57,70.853,48.681,14.893,0.788,78.058,9720896,3456,0.465,0.163,100,9720896,3,348,366,177.797,49.536,1.455,0.687,0.934,2665,3e-05,a
914,83,2692,4321.89,1379.515,1136,9696,186.793,369.222,187.5,371.155,213.635,153,340,72,63,70.665,48.505,45.128,0.741,77.878,11634528,4192,0.766,1.998,100,11634528,3,153,373,24.261,53.01,1.457,0.686,0.914,2665,3e-05,a
915,84,2985,4183.397,1412.469,1040,10336,663.379,377.155,659.473,378.737,231.566,624,348,83,60,80.239,47.366,14.615,0.7,83.096,12487440,4176,0.485,1.653,100,12487440,3,624,373,177.241,53.19,1.694,0.59,0.881,2665,3e-05,a
916,85,4428,3674.54,1100.41,992,10432,294.058,400.502,293.467,401.168,275.606,257,353,75,100,103.516,54.464,67.609,0.733,105.991,16270864,3536,0.813,2.631,100,16270864,3,272,448,63.677,56.215,1.901,0.526,0.929,2665,3e-05,a
